macro_zone-micro_zone,AP_ITISLI03_5.0,AP_SMART50,itis-wifi2,itis-wifi,wifi-itis,wifi-lab01,AP_ITISLI03_2.5,AP_SMART25,AP_ITISLI02,itis-pvt,
smartlab-4,-120,-120,-77,-75,-120,-120,-120,-120,-120,-79,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-73,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-71,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-120,-120,-120,-120,-120,-120,-77,
smartlab-4,-120,-120,-120,-65,-120,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-67,-120,-69,-63,-120,-120,-120,-67,
smartlab-4,-120,-120,-73,-77,-75,-73,-120,-120,-120,-69,
smartlab-4,-120,-120,-63,-75,-63,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-120,-69,-65,-120,-120,-120,-120,-65,
smartlab-4,-120,-120,-120,-63,-75,-120,-120,-120,-120,-63,
smartlab-4,-120,-120,-81,-65,-63,-61,-120,-120,-120,-63,
smartlab-4,-120,-120,-65,-61,-63,-61,-120,-120,-120,-65,
smartlab-4,-120,-120,-65,-65,-73,-77,-120,-120,-120,-77,
smartlab-4,-120,-120,-65,-65,-63,-120,-120,-120,-120,-63,
smartlab-4,-120,-120,-67,-73,-75,-120,-120,-120,-120,-63,
smartlab-4,-120,-120,-63,-77,-120,-63,-120,-120,-120,-63,
smartlab-4,-120,-120,-65,-65,-61,-120,-120,-120,-120,-63,
smartlab-4,-120,-120,-61,-120,-120,-63,-120,-120,-120,-120,
smartlab-4,-120,-120,-71,-61,-71,-63,-120,-120,-120,-63,
smartlab-4,-120,-120,-63,-63,-67,-65,-120,-120,-120,-65,
smartlab-4,-120,-120,-120,-65,-120,-65,-120,-120,-120,-69,
smartlab-4,-120,-120,-63,-63,-61,-61,-120,-120,-120,-120,
smartlab-4,-120,-120,-65,-63,-81,-65,-120,-120,-120,-120,
smartlab-4,-120,-120,-61,-65,-63,-75,-120,-120,-120,-65,
smartlab-4,-120,-120,-63,-120,-73,-120,-120,-120,-120,-120,
smartlab-4,-120,-120,-65,-65,-75,-63,-120,-120,-120,-63,
smartlab-3,-120,-120,-120,-120,-83,-120,-120,-120,-120,-71,
smartlab-3,-120,-120,-79,-77,-77,-79,-120,-120,-120,-77,
smartlab-3,-120,-120,-120,-75,-120,-120,-120,-120,-120,-59,
smartlab-3,-120,-120,-77,-75,-77,-77,-120,-120,-120,-77,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-75,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-67,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,
smartlab-3,-120,-120,-120,-120,-75,-79,-120,-120,-120,-120,
