zone,AP_SMART25,itis-wifi2,AP_ITISLI03_5.0,AP_ITISLI02,AP_ITISLI03_2.5,itis-wifi,wifi-itis,itis-pvt,wifi-lab01,AP_SMART50
Aula3_0_1,-120,-120,-120,-120,-39,-120,-71,-120,-75,-120
Aula3_0_1,-120,-120,-120,-120,-37,-79,-120,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-39,-120,-120,-71,-120,-120
Aula3_0_1,-120,-73,-120,-120,-37,-71,-120,-120,-120,-120
Aula3_0_1,-120,-73,-120,-120,-37,-63,-120,-120,-73,-120
Aula3_0_1,-120,-120,-120,-120,-39,-120,-120,-120,-120,-120
Aula3_0_1,-120,-73,-120,-120,-41,-120,-120,-71,-120,-120
Aula3_0_1,-120,-120,-120,-120,-41,-120,-120,-71,-71,-120
Aula3_0_1,-120,-73,-120,-120,-39,-79,-77,-65,-77,-120
Aula3_0_1,-120,-73,-120,-120,-41,-120,-75,-73,-77,-120
Aula3_0_1,-59,-73,-120,-120,-41,-120,-73,-73,-73,-120
Aula3_0_1,-120,-69,-120,-120,-39,-71,-81,-120,-69,-120
Aula3_0_1,-120,-120,-120,-120,-39,-75,-120,-71,-120,-120
Aula3_0_1,-120,-81,-120,-120,-71,-120,-77,-73,-120,-120
Aula3_0_1,-120,-79,-120,-120,-39,-120,-120,-71,-120,-120
Aula3_0_1,-120,-75,-120,-120,-39,-73,-120,-120,-73,-120
Aula3_0_1,-120,-120,-120,-120,-37,-79,-73,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-120,-120,-120,-120
Aula3_0_1,-120,-71,-120,-120,-37,-120,-75,-71,-120,-120
Aula3_0_1,-120,-75,-120,-120,-37,-120,-71,-120,-73,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-120,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-39,-77,-73,-120,-77,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-120,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-120,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-39,-120,-120,-120,-120,-120
Aula3_0_1,-120,-75,-120,-120,-39,-79,-71,-120,-73,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-73,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-39,-79,-71,-120,-71,-120
Aula3_0_1,-120,-71,-120,-120,-39,-120,-71,-120,-120,-120
Aula3_0_1,-120,-120,-120,-120,-37,-120,-75,-73,-120,-120
Aula3_0_2,-120,-65,-120,-120,-39,-65,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-39,-69,-120,-120,-65,-120
Aula3_0_2,-120,-120,-120,-120,-41,-69,-61,-69,-120,-120
Aula3_0_2,-120,-77,-120,-120,-39,-79,-120,-63,-81,-120
Aula3_0_2,-120,-120,-120,-120,-43,-120,-79,-120,-67,-120
Aula3_0_2,-120,-67,-120,-120,-39,-67,-77,-79,-120,-120
Aula3_0_2,-120,-120,-120,-120,-41,-120,-79,-81,-120,-120
Aula3_0_2,-120,-69,-120,-120,-41,-65,-83,-81,-120,-120
Aula3_0_2,-120,-120,-120,-120,-39,-120,-120,-120,-120,-120
Aula3_0_2,-120,-77,-120,-120,-39,-120,-77,-120,-120,-120
Aula3_0_2,-120,-63,-120,-120,-39,-69,-83,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-81,-65,-120,-65,-120,-120
Aula3_0_2,-120,-69,-120,-120,-39,-120,-120,-65,-65,-120
Aula3_0_2,-120,-65,-120,-120,-120,-120,-79,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-41,-120,-120,-120,-120,-120
Aula3_0_2,-120,-85,-120,-120,-39,-120,-120,-67,-75,-120
Aula3_0_2,-120,-79,-120,-120,-39,-67,-120,-120,-67,-120
Aula3_0_2,-120,-120,-120,-120,-39,-120,-120,-120,-81,-120
Aula3_0_2,-120,-120,-120,-120,-39,-120,-120,-71,-120,-120
Aula3_0_2,-120,-63,-120,-120,-120,-65,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-37,-120,-120,-120,-65,-120
Aula3_0_2,-120,-79,-120,-120,-83,-120,-120,-120,-69,-120
Aula3_0_2,-120,-120,-120,-120,-39,-120,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-37,-69,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-43,-67,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-39,-61,-120,-120,-65,-120
Aula3_0_2,-120,-120,-120,-120,-37,-120,-67,-120,-65,-120
Aula3_0_2,-120,-65,-120,-120,-39,-61,-120,-120,-120,-120
Aula3_0_2,-120,-120,-120,-120,-41,-120,-69,-71,-120,-120
Aula3_0_2,-120,-120,-120,-120,-39,-120,-81,-71,-69,-120
Aula52_1,-120,-120,-63,-120,-71,-75,-120,-65,-65,-79
Aula52_1,-120,-120,-79,-120,-69,-75,-120,-73,-71,-75
Aula52_1,-120,-120,-75,-120,-75,-69,-120,-75,-81,-65
Aula52_1,-120,-120,-81,-120,-77,-71,-120,-75,-67,-67
Aula52_1,-120,-120,-63,-120,-71,-69,-120,-73,-83,-65
Aula52_1,-120,-120,-73,-120,-69,-69,-120,-71,-81,-69
Aula52_1,-120,-120,-71,-120,-69,-69,-120,-75,-69,-73
Aula52_1,-120,-120,-65,-120,-71,-69,-120,-71,-63,-71
Aula52_1,-120,-120,-79,-120,-79,-69,-120,-71,-65,-69
Aula52_1,-120,-120,-73,-120,-67,-67,-120,-81,-69,-71
Aula52_1,-120,-120,-79,-120,-71,-71,-120,-65,-73,-71
Aula52_1,-120,-120,-71,-120,-75,-120,-120,-75,-73,-71
Aula52_1,-120,-120,-67,-120,-71,-69,-120,-69,-73,-67
Aula52_1,-120,-120,-73,-120,-77,-69,-120,-75,-75,-75
Aula52_1,-120,-120,-67,-120,-69,-67,-120,-73,-77,-71
Aula52_1,-120,-120,-65,-120,-75,-69,-120,-73,-73,-75
Aula52_1,-120,-120,-79,-120,-65,-73,-120,-65,-75,-65
