zone,AP_SMART25,itis-wifi2,AP_ITISLI03_5.0,AP_ITISLI02,AP_ITISLI03_2.5,itis-wifi,wifi-itis,itis-pvt,wifi-lab01,AP_SMART50
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-37.8,-90.6,-110.2,-110.2,-101.6,-95.0
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-37.8,-90.6,-95.0,-110.2,-110.6,-95.0
Aula3_0_1,-95.0,-91.8,-95.0,-95.0,-38.6,-98.8,-95.0,-100.4,-110.6,-95.0
Aula3_0_1,-95.0,-91.8,-95.0,-95.0,-39.0,-98.8,-95.0,-100.4,-100.8,-95.0
Aula3_0_1,-95.0,-91.8,-95.0,-95.0,-39.4,-100.4,-111.4,-89.4,-92.2,-95.0
Aula3_0_1,-95.0,-91.8,-95.0,-95.0,-40.2,-111.8,-102.4,-80.0,-93.0,-95.0
Aula3_0_1,-107.8,-82.4,-95.0,-95.0,-40.6,-111.8,-93.0,-70.6,-83.6,-95.0
Aula3_0_1,-107.8,-81.6,-95.0,-95.0,-40.2,-102.0,-85.2,-80.4,-73.4,-95.0
Aula3_0_1,-107.8,-81.6,-95.0,-95.0,-39.8,-93.0,-85.2,-80.4,-83.2,-95.0
Aula3_0_1,-107.8,-83.2,-95.0,-95.0,-46.2,-101.2,-85.2,-82.0,-91.8,-95.0
Aula3_0_1,-107.8,-84.4,-95.0,-95.0,-45.8,-101.2,-94.2,-81.6,-100.4,-95.0
Aula3_0_1,-95.0,-84.8,-95.0,-95.0,-45.4,-91.8,-103.6,-91.0,-100.4,-95.0
Aula3_0_1,-95.0,-95.0,-95.0,-95.0,-45.0,-93.4,-102.0,-91.0,-110.6,-95.0
Aula3_0_1,-95.0,-95.0,-95.0,-95.0,-44.6,-102.4,-102.0,-100.8,-110.6,-95.0
Aula3_0_1,-95.0,-93.0,-95.0,-95.0,-37.8,-102.4,-101.6,-100.4,-110.6,-95.0
Aula3_0_1,-95.0,-92.2,-95.0,-95.0,-37.4,-102.4,-91.8,-110.2,-101.2,-95.0
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-37.0,-111.8,-91.8,-110.2,-110.6,-95.0
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-37.4,-111.4,-91.8,-110.2,-102.0,-95.0
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-37.4,-111.4,-91.8,-110.2,-102.0,-95.0
Aula3_0_1,-95.0,-111.0,-95.0,-95.0,-37.4,-111.4,-100.8,-95.0,-102.0,-95.0
Aula3_0_1,-95.0,-95.0,-95.0,-95.0,-37.8,-111.4,-110.6,-95.0,-111.4,-95.0
Aula3_0_1,-95.0,-111.0,-95.0,-95.0,-38.2,-103.2,-100.8,-95.0,-102.0,-95.0
Aula3_0_1,-95.0,-111.0,-95.0,-95.0,-37.8,-111.8,-100.8,-95.0,-110.6,-95.0
Aula3_0_1,-95.0,-111.0,-95.0,-95.0,-38.2,-103.6,-91.0,-95.0,-100.8,-95.0
Aula3_0_1,-95.0,-101.2,-95.0,-95.0,-38.6,-103.6,-81.2,-95.0,-100.8,-95.0
Aula3_0_2,-95.0,-100.4,-95.0,-95.0,-40.2,-80.4,-100.0,-98.4,-90.6,-95.0
Aula3_0_2,-95.0,-100.8,-95.0,-95.0,-40.2,-80.8,-91.4,-90.2,-90.6,-95.0
Aula3_0_2,-95.0,-100.8,-95.0,-95.0,-40.6,-91.0,-83.2,-82.4,-101.6,-95.0
Aula3_0_2,-95.0,-90.6,-95.0,-95.0,-40.6,-90.2,-87.6,-84.8,-101.6,-95.0
Aula3_0_2,-95.0,-99.2,-95.0,-95.0,-40.6,-98.4,-87.6,-96.2,-109.4,-95.0
Aula3_0_2,-95.0,-90.6,-95.0,-95.0,-39.8,-98.4,-87.2,-96.2,-95.0,-95.0
Aula3_0_2,-95.0,-89.8,-95.0,-95.0,-39.8,-98.8,-88.4,-104.4,-95.0,-95.0
Aula3_0_2,-95.0,-89.8,-95.0,-95.0,-47.8,-87.8,-96.6,-101.2,-95.0,-95.0
Aula3_0_2,-95.0,-89.8,-95.0,-95.0,-47.4,-98.8,-104.0,-98.0,-109.0,-95.0
Aula3_0_2,-95.0,-78.8,-95.0,-95.0,-63.6,-98.8,-95.8,-98.0,-109.0,-95.0
Aula3_0_2,-95.0,-87.4,-95.0,-95.0,-64.0,-98.8,-104.4,-98.0,-109.0,-95.0
Aula3_0_2,-95.0,-91.8,-95.0,-95.0,-64.0,-109.0,-111.8,-87.4,-100.0,-95.0
Aula3_0_2,-95.0,-83.6,-95.0,-95.0,-55.6,-109.4,-111.8,-98.4,-89.4,-95.0
Aula3_0_2,-95.0,-93.8,-95.0,-95.0,-55.6,-109.4,-111.8,-109.4,-92.6,-95.0
Aula3_0_2,-95.0,-104.8,-95.0,-95.0,-39.4,-109.4,-95.0,-99.6,-92.6,-95.0
Aula3_0_2,-95.0,-93.4,-95.0,-95.0,-55.2,-98.4,-95.0,-99.6,-92.6,-95.0
Aula3_0_2,-95.0,-100.4,-95.0,-95.0,-54.8,-98.4,-95.0,-110.2,-90.6,-95.0
Aula3_0_2,-95.0,-100.4,-95.0,-95.0,-63.6,-109.0,-95.0,-110.2,-91.0,-95.0
Aula3_0_2,-95.0,-100.4,-95.0,-95.0,-63.6,-109.0,-95.0,-110.2,-98.8,-95.0
Aula3_0_2,-95.0,-100.4,-95.0,-95.0,-63.2,-98.8,-95.0,-95.0,-98.8,-95.0
Aula3_0_2,-95.0,-111.8,-95.0,-95.0,-47.8,-99.2,-95.0,-95.0,-98.8,-95.0
Aula3_0_2,-95.0,-111.8,-95.0,-95.0,-48.2,-87.4,-95.0,-95.0,-98.8,-95.0
Aula3_0_2,-95.0,-95.0,-95.0,-95.0,-39.0,-87.4,-109.4,-95.0,-98.0,-95.0
Aula3_0_2,-95.0,-109.0,-95.0,-95.0,-39.0,-75.6,-109.4,-95.0,-98.0,-95.0
Aula3_0_2,-95.0,-109.0,-95.0,-95.0,-39.8,-85.8,-99.2,-110.2,-98.0,-95.0
Aula52_1,-95.0,-95.0,-72.2,-95.0,-72.6,-71.8,-95.0,-72.2,-73.4,-70.2
